,source,target
5962,besides,noble
5963,noble,chaste
5964,chaste,andprophet
5965,andprophet,goodly
5966,goodly,company
5967,company,righteous
5968,said,lord
5969,lord,shallhave
5970,shallhave,son
5971,son,seeingam
5972,seeingam,old
5973,old,wife
5974,wife,barren
5975,barren,thus
5976,thus,answer
5977,answer,doth
5978,doth,allah
5979,allah,accomplish
5980,accomplish,willeth
5981,said,lord
5982,lord,give
5983,give,mesign
5984,mesign,thy
5985,thy,sign
5986,sign,answer
5987,answer,shall
5988,shall,thou
5989,thou,shalt
5990,shalt,speak
5991,speak,man
5992,man,three
5993,three,days
5994,days,signals
5995,signals,celebrate
5996,celebrate,praises
5997,praises,thy
5998,thy,lord
5999,lord,glorify
6000,glorify,evening
6001,evening,morning
6002,behold,angels
6003,angels,said
6004,said,mary
6005,mary,allah
6006,allah,hath
6007,hath,chosen
6008,chosen,thee
6009,thee,purified
6010,purified,thee
6011,thee,chosen
6012,chosen,thee
6013,thee,women
6014,women,nations
6015,mary,worship
6016,worship,thy
6017,thy,lord
6018,lord,devoutly
6019,devoutly,prostrate
6020,prostrate,thyself
6021,thyself,bow
6022,bow,prayer
6023,prayer,bow
6024,part,tidings
6025,tidings,things
6026,things,unseen
6027,unseen,reveal
6028,reveal,unto
6029,unto,theemessenger
6030,theemessenger,inspiration
6031,inspiration,thou
6032,thou,wast
6033,wast,cast
6034,cast,lots
6035,lots,arrows
6036,arrows,charged
6037,charged,care
6038,care,mary
6039,mary,wast
6040,wast,thou
6041,thou,disputed
6042,disputed,point
6043,behold,angels
6044,angels,said
6045,said,mary
6046,mary,allah
6047,allah,giveth
6048,giveth,thee
6049,thee,glad
6050,glad,tidings
6051,tidings,ofword
6052,ofword,name
6053,name,christ
6054,christ,jesus
6055,jesus,son
6056,son,mary
6057,mary,held
6058,held,honour
6059,honour,world
6060,world,hereafter
6061,hereafter,company
6062,company,nearest
6063,nearest,allah
6064,shall,speak
6065,speak,people
6066,people,childhood
6067,childhood,maturity
6068,maturity,shall
6069,shall,company
6070,company,righteous
6071,said,lord
6072,lord,shallhaveson
6073,shallhaveson,man
6074,man,hath
6075,hath,touched
6076,touched,said
6077,said,even
6078,even,allah
6079,allah,createth
6080,createth,willeth
6081,willeth,hath
6082,hath,decreedplan
6083,decreedplan,saith
6084,allah,teach
6085,teach,book
6086,book,wisdom
6087,wisdom,law
6088,law,gospel
6089,appoint,himmessenger
6090,himmessenger,children
6091,children,israel
6092,israel,message
6093,message,come
6094,come,withsign
6095,withsign,lord
6096,lord,thatmake
6097,thatmake,clay
6098,clay,figure
6099,figure,ofbird
6100,ofbird,breathe
6101,breathe,becomesbird
6102,becomesbird,allah
6103,allah,leave
6104,leave,andheal
6105,andheal,born
6106,born,blind
6107,blind,lepers
6108,lepers,andquicken
6109,andquicken,dead
6110,dead,allah
6111,allah,leave
6112,leave,anddeclare
6113,anddeclare,ye
6114,ye,eat
6115,eat,ye
6116,ye,store
6117,store,houses
6118,houses,surely
6119,surely,therein
6120,therein,issign
6121,issign,ye
6122,ye,believe
6123,come,attest
6124,attest,law
6125,law,make
6126,make,lawful
6127,lawful,part
6128,part,forbidden
6129,forbidden,come
6130,come,withsign
6131,withsign,lord
6132,lord,fear
6133,fear,allah
6134,allah,obey
6135,allah,lord
6136,lord,lord
6137,lord,worship
6138,worship,isway
6139,isway,straight
6140,jesus,found
6141,found,unbelief
6142,unbelief,part
6143,part,said
6144,said,helpers
6145,helpers,work
6146,work,allah
6147,allah,said
6148,said,disciples
6149,disciples,allah
6150,allah,helpers
6151,helpers,believe
6152,believe,allah
6153,allah,thou
6154,thou,bear
6155,bear,witness
6156,witness,muslims
6157,lord,believe
6158,believe,thou
6159,thou,hast
6160,hast,revealed
6161,revealed,follow
6162,follow,messenger
6163,messenger,write
6164,write,us
6165,us,among
6166,among,bear
6167,bear,witness
6168,unbelievers,plotted
6169,plotted,planned
6170,planned,allah
6171,allah,planned
6172,planned,best
6173,best,planners
6174,planners,allah
6175,behold,allah
6176,allah,said
6177,said,jesus
6178,jesus,take
6179,take,thee
6180,thee,raise
6181,raise,thee
6182,thee,clear
6183,clear,thee
6184,thee,falsehoods
6185,falsehoods,blaspheme
6186,blaspheme,make
6187,make,follow
6188,follow,thee
6189,thee,superior
6190,superior,reject
6191,reject,faith
6192,faith,day
6193,day,resurrection
6194,resurrection,shall
6195,shall,ye
6196,ye,return
6197,return,unto
6198,unto,andwill
6199,andwill,judge
6200,judge,matters
6201,matters,wherein
6202,wherein,ye
6203,ye,dispute
6204,reject,faith
6205,faith,punish
6206,punish,terrible
6207,terrible,agony
6208,agony,world
6209,world,hereafter
6210,hereafter,anyone
6211,anyone,help
6212,believe,work
6213,work,righteousness
6214,righteousness,allah
6215,allah,pay
6216,pay,full
6217,full,reward
6218,reward,allah
6219,allah,loveth
6220,loveth,wrong
6221,rehearse,unto
6222,unto,thee
6223,thee,signs
6224,signs,message
6225,message,wisdom
6226,similitude,jesus
6227,jesus,allah
6228,allah,adam
6229,adam,created
6230,created,dust
6231,dust,said
6232,truth,comes
6233,comes,allah
6234,allah,alone
6235,alone,doubt
6236,one,disputes
6237,disputes,matter
6238,matter,thee
6239,thee,full
6240,full,knowledge
6241,knowledge,hath
6242,hath,come
6243,come,thee
6244,thee,say
6245,say,come
6246,come,let
6247,let,us
6248,us,gather
6249,gather,together
6250,together,sons
6251,sons,sons
6252,sons,women
6253,women,women
6254,women,let
6255,let,us
6256,us,earnestly
6257,earnestly,pray
6258,pray,invoke
6259,invoke,curse
6260,curse,allah
6261,allah,lie
6262,true,account
6263,account,god
6264,god,except
6265,except,allah
6266,allah,allah
6267,allah,indeed
6268,indeed,exalted
6269,exalted,power
6270,power,wise
6271,turn,back
6272,back,allah
6273,allah,hath
6274,hath,full
6275,full,knowledge
6276,knowledge,mischief
6277,say,people
6278,people,book
6279,book,come
6280,come,common
6281,common,terms
6282,terms,us
6283,us,worship
6284,worship,none
6285,none,allah
6286,allah,associate
6287,associate,partners
6288,partners,erect
6289,erect,among
6290,among,lords
6291,lords,patrons
6292,patrons,allah
6293,allah,turn
6294,turn,back
6295,back,say
6296,say,ye
6297,ye,bear
6298,bear,witness
6299,witness,least
6300,least,muslims
6301,muslims,bowing
6302,bowing,allah
6303,ye,people
6304,people,book
6305,book,dispute
6306,dispute,ye
6307,ye,abraham
6308,abraham,law
6309,law,gospel
6310,gospel,revealed
6311,revealed,till
6312,till,ye
6313,ye,understanding
6314,ah,ye
6315,ye,fell
6316,fell,disputing
6317,disputing,even
6318,even,matters
6319,matters,ye
6320,ye,knowledge
6321,knowledge,dispute
6322,dispute,ye
6323,ye,matters
6324,matters,ye
6325,ye,knowledge
6326,knowledge,allah
6327,allah,knows
6328,knows,ye
6329,ye,know
6330,abraham,notjew
6331,notjew,yetchristian
6332,yetchristian,true
6333,true,faith
6334,faith,bowed
6335,bowed,allah
6336,allah,islam
6337,islam,joined
6338,joined,gods
6339,gods,allah
6340,without,doubt
6341,doubt,among
6342,among,men
6343,men,nearest
6344,nearest,kin
6345,kin,abraham
6346,abraham,follow
6347,follow,also
6348,also,prophet
6349,prophet,believe
6350,believe,allah
6351,allah,protector
6352,protector,faith
6353,wish,ofsection
6354,ofsection,people
6355,people,book
6356,book,lead
6357,lead,astray
6358,astray,shall
6359,shall,lead
6360,lead,astray
6361,astray,perceive
6362,ye,people
6363,people,book
6364,book,reject
6365,reject,ye
6366,ye,signs
6367,signs,allah
6368,allah,ye
6369,ye,witnesses
6370,ye,people
6371,people,book
6372,book,ye
6373,ye,clothe
6374,clothe,truth
6375,truth,falsehood
6376,falsehood,conceal
6377,conceal,truth
6378,truth,ye
6379,ye,knowledge
6380,section,people
6381,people,book
6382,book,say
6383,say,believe
6384,believe,morning
6385,morning,revealed
6386,revealed,believers
6387,believers,reject
6388,reject,end
6389,end,day
6390,day,perchance
6391,perchance,may
6392,may,turn
6393,turn,back
6394,believe,one
6395,one,unless
6396,unless,follows
6397,follows,religion
6398,religion,say
6399,say,true
6400,true,guidance
6401,guidance,guidance
6402,guidance,allah
6403,allah,fear
6404,fear,ye
6405,ye,lestrevelation
6406,lestrevelation,sent
6407,sent,someone
6408,someone,else
6409,else,like
6410,like,unto
6411,unto,sent
6412,sent,unto
6413,unto,receiving
6414,receiving,revelation
6415,revelation,engage
6416,engage,argument
6417,argument,lord
6418,lord,say
6419,say,bounties
6420,bounties,hand
6421,hand,allah
6422,allah,granteth
6423,granteth,pleaseth
6424,pleaseth,allah
6425,allah,careth
6426,careth,knoweth
6427,knoweth,things
6428,mercy,specially
6429,specially,chooseth
6430,chooseth,pleaseth
6431,pleaseth,allah
6432,allah,lord
6433,lord,bounties
6434,bounties,unbounded
6435,among,people
6436,people,book
6437,book,entrusted
6438,entrusted,withhoard
6439,withhoard,gold
6440,gold,readily
6441,readily,pay
6442,pay,back
6443,back,others
6444,others,entrusted
6445,entrusted,withsingle
6446,withsingle,silver
6447,silver,coin
6448,coin,repay
6449,repay,unless
6450,unless,thou
6451,thou,constantly
6452,constantly,stoodest
6453,stoodest,demanding
6454,demanding,say
6455,say,call
6456,call,us
6457,us,keep
6458,keep,faith
6459,faith,ignorant
6460,ignorant,pagans
6461,pagans,telllie
6462,telllie,allah
6463,allah,well
6464,well,know
6465,nay,keep
6466,keep,plighted
6467,plighted,faith
6468,faith,act
6469,act,aright
6470,aright,verily
6471,verily,allah
6472,allah,loves
6473,loves,act
6474,act,aright
6475,sell,faith
6476,faith,owe
6477,owe,allah
6478,allah,plighted
6479,plighted,word
6480,word,forsmall
6481,forsmall,price
6482,price,shall
6483,shall,portion
6484,portion,hereafter
6485,hereafter,allah
6486,allah,deign
6487,deign,speak
6488,speak,look
6489,look,day
6490,day,judgment
6491,judgment,cleans
6492,cleans,sin
6493,sin,shall
6494,shall,havegrievous
6495,havegrievous,penalty
6496,among,themsection
6497,themsection,distort
6498,distort,book
6499,book,tongues
6500,tongues,read
6501,read,would
6502,would,think
6503,think,ispart
6504,ispart,book
6505,book,part
6506,part,book
6507,book,say
6508,say,allah
6509,allah,allah
6510,allah,telllie
6511,telllie,allah
6512,allah,well
6513,well,know
6514,possible,thatman
6515,thatman,given
6516,given,book
6517,book,wisdom
6518,wisdom,prophetic
6519,prophetic,office
6520,office,say
6521,say,people
6522,people,ye
6523,ye,worshippers
6524,worshippers,rather
6525,rather,allah
6526,allah,contrary
6527,contrary,would
6528,would,say
6529,say,ye
6530,ye,worshippers
6531,worshippers,truly
6532,truly,cherisher
6533,cherisher,ye
6534,ye,taught
6535,taught,book
6536,book,ye
6537,ye,studied
6538,studied,earnestly
6539,would,instruct
6540,instruct,take
6541,take,angels
6542,angels,prophets
6543,prophets,lords
6544,lords,patrons
6545,patrons,would
6546,would,bid
6547,bid,unbelief
6548,unbelief,ye
6549,ye,bowed
6550,bowed,allah
6551,allah,islam
6552,behold,allah
6553,allah,took
6554,took,covenant
6555,covenant,prophets
6556,prophets,saying
6557,saying,give
6558,give,youbook
6559,youbook,wisdom
6560,wisdom,comes
6561,comes,youmessenger
6562,youmessenger,confirming
6563,confirming,ye
6564,ye,believe
6565,believe,render
6566,render,help
6567,help,allah
6568,allah,said
6569,said,ye
6570,ye,agree
6571,agree,take
6572,take,covenant
6573,covenant,binding
6574,binding,said
6575,said,agree
6576,agree,said
6577,said,bear
6578,bear,witness
6579,witness,andam
6580,andam,among
6581,among,witnesses
6582,turn,back
6583,back,perverted
6584,perverted,transgressors
6585,seek,religion
6586,religion,allah
6587,allah,creatures
6588,creatures,heavens
6589,heavens,earth
6590,earth,willing
6591,willing,unwilling
6592,unwilling,bowed
6593,bowed,accepted
6594,accepted,islam
6595,islam,shall
6596,shall,brought
6597,brought,back
6598,say,believe
6599,believe,allah
6600,allah,revealed
6601,revealed,us
6602,us,revealed
6603,revealed,abraham
6604,abraham,isma
6605,isma,il
6606,il,isaac
6607,isaac,jacob
6608,jacob,tribes
6609,tribes,books
6610,books,given
6611,given,moses
6612,moses,jesus
6613,jesus,prophets
6614,prophets,lord
6615,lord,make
6616,make,distinction
6617,distinction,one
6618,one,another
6619,another,among
6620,among,allah
6621,allah,bow
6622,bow,islam
6623,anyone,desiresreligion
6624,desiresreligion,islam
6625,islam,submission
6626,submission,allah
6627,allah,never
6628,never,accepted
6629,accepted,hereafter
6630,hereafter,ranks
6631,ranks,lost
6632,lost,spiritual
6633,spiritual,good
6634,shall,allah
6635,allah,guide
6636,guide,reject
6637,reject,faith
6638,faith,accepted
6639,accepted,bore
6640,bore,witness
6641,witness,messenger
6642,messenger,true
6643,true,clear
6644,clear,signs
6645,signs,come
6646,come,unto
6647,unto,allah
6648,allah,guides
6649,guides,notpeople
6650,notpeople,unjust
6651,reward,rests
6652,rests,curse
6653,curse,allah
6654,allah,angels
6655,angels,mankind
6656,dwell,penalty
6657,penalty,lightened
6658,lightened,respite
6659,respite,lot
6660,except,repent
6661,repent,even
6662,even,make
6663,make,amends
6664,amends,verily
6665,verily,allah
6666,allah,oft
6667,oft,forgiving
6668,forgiving,merciful
6669,reject,faith
6670,faith,accepted
6671,accepted,go
6672,go,adding
6673,adding,defiance
6674,defiance,faith
6675,faith,never
6676,never,repentance
6677,repentance,accepted
6678,accepted,set
6679,set,purpose
6680,purpose,gone
6681,gone,astray
6682,reject,faith
6683,faith,die
6684,die,rejecting
6685,rejecting,never
6686,never,would
6687,would,accepted
6688,accepted,much
6689,much,gold
6690,gold,earth
6691,earth,contains
6692,contains,though
6693,though,offer
6694,offer,ransom
6695,ransom,storepenalty
6696,storepenalty,grievous
6697,grievous,find
6698,find,helpers
6699,means,shall
6700,shall,ye
6701,ye,attain
6702,attain,righteousness
6703,righteousness,unless
6704,unless,ye
6705,ye,give
6706,give,freely
6707,freely,ye
6708,ye,love
6709,love,whatever
6710,whatever,ye
6711,ye,give
6712,give,oftruth
6713,oftruth,allah
6714,allah,knoweth
6715,knoweth,well
6716,food,lawful
6717,lawful,children
6718,children,israel
6719,israel,except
6720,except,israel
6721,israel,made
6722,made,unlawful
6723,unlawful,law
6724,law,moses
6725,moses,revealed
6726,revealed,say
6727,say,bring
6728,bring,ye
6729,ye,law
6730,law,study
6731,study,ye
6732,ye,men
6733,men,truth
6734,inventlie,attribute
6735,attribute,allah
6736,allah,indeed
6737,indeed,unjust
6738,unjust,wrong
6739,wrong,doers
6740,say,allah
6741,allah,speaketh
6742,speaketh,truth
6743,truth,follow
6744,follow,religion
6745,religion,abraham
6746,abraham,sane
6747,sane,faith
6748,faith,pagans
6749,first,house
6750,house,worship
6751,worship,appointed
6752,appointed,men
6753,men,bakka
6754,bakka,full
6755,full,blessing
6756,blessing,guidance
6757,guidance,kinds
6758,kinds,beings
6759,signs,manifest
6760,manifest,example
6761,example,station
6762,station,abraham
6763,abraham,whoever
6764,whoever,enters
6765,enters,attains
6766,attains,security
6767,security,pilgrimage
6768,pilgrimage,thereto
6769,thereto,isduty
6770,isduty,men
6771,men,owe
6772,owe,allah
6773,allah,afford
6774,afford,journey
6775,journey,deny
6776,deny,faith
6777,faith,allah
6778,allah,stands
6779,stands,need
6780,need,creatures
6781,say,people
6782,people,book
6783,book,reject
6784,reject,ye
6785,ye,signs
6786,signs,allah
6787,allah,allah
6788,allah,witness
6789,witness,ye
6790,say,ye
6791,ye,people
6792,people,book
6793,book,obstruct
6794,obstruct,ye
6795,ye,believe
6796,believe,path
6797,path,allah
6798,allah,seeking
6799,seeking,make
6800,make,crooked
6801,crooked,ye
6802,ye,witnesses
6803,witnesses,allah
6804,allah,covenant
6805,covenant,allah
6806,allah,unmindful
6807,unmindful,ye
6808,ye,believe
6809,believe,ye
6810,ye,listen
6811,listen,tofaction
6812,tofaction,among
6813,among,people
6814,people,book
6815,book,would
6816,would,indeed
6817,indeed,render
6818,render,apostates
6819,apostates,ye
6820,ye,believed
6821,would,ye
6822,ye,deny
6823,deny,faith
6824,faith,unto
6825,unto,rehearsed
6826,rehearsed,signs
6827,signs,allah
6828,allah,among
6829,among,lives
6830,lives,messenger
6831,messenger,whoever
6832,whoever,holds
6833,holds,firmly
6834,firmly,allah
6835,allah,shownway
6836,shownway,straight
6837,ye,believe
6838,believe,fear
6839,fear,allah
6840,allah,feared
6841,feared,die
6842,die,except
6843,except,instate
6844,instate,islam
6845,hold,fast
6846,fast,together
6847,together,rope
6848,rope,allah
6849,allah,stretches
6850,stretches,divided
6851,divided,among
6852,among,remember
6853,remember,gratitude
6854,gratitude,allah
6855,allah,favour
6856,favour,ye
6857,ye,enemies
6858,enemies,joined
6859,joined,hearts
6860,hearts,love
6861,love,grace
6862,grace,ye
6863,ye,became
6864,became,brethren
6865,brethren,ye
6866,ye,brink
6867,brink,pit
6868,pit,fire
6869,fire,saved
6870,saved,thus
6871,thus,doth
6872,doth,allah
6873,allah,make
6874,make,signs
6875,signs,clear
6876,clear,ye
6877,ye,may
6878,may,guided
6879,let,arise
6880,arise,youband
6881,youband,people
6882,people,inviting
6883,inviting,good
6884,good,enjoining
6885,enjoining,right
6886,right,forbidding
6887,forbidding,wrong
6888,wrong,ones
6889,ones,attain
6890,attain,felicity
6891,like,divided
6892,divided,amongst
6893,amongst,fall
6894,fall,disputations
6895,disputations,receiving
6896,receiving,clear
6897,clear,signs
6898,signs,isdreadful
6899,isdreadful,penalty
6900,day,faces
6901,faces,lit
6902,lit,white
6903,white,faces
6904,faces,gloom
6905,gloom,black
6906,black,whose
6907,whose,faces
6908,faces,black
6909,black,said
6910,said,ye
6911,ye,reject
6912,reject,faith
6913,faith,accepting
6914,accepting,taste
6915,taste,penalty
6916,penalty,rejecting
6917,rejecting,faith
6918,whose,faces
6919,faces,lit
6920,lit,white
6921,white,light
6922,light,allah
6923,allah,mercy
6924,mercy,therein
6925,therein,dwell
6926,dwell,ever
6927,signs,allah
6928,allah,rehearse
6929,rehearse,thee
6930,thee,truth
6931,truth,allah
6932,allah,means
6933,means,injustice
6934,injustice,creatures
6935,allah,belongs
6936,belongs,heavens
6937,heavens,earth
6938,earth,questions
6939,questions,go
6940,go,back
6941,back,decision
6942,ye,best
6943,best,peoples
6944,peoples,evolved
6945,evolved,mankind
6946,mankind,enjoining
6947,enjoining,right
6948,right,forbidding
6949,forbidding,wrong
6950,wrong,believing
6951,believing,allah
6952,allah,people
6953,people,book
6954,book,faith
6955,faith,best
6956,best,among
6957,among,faith
6958,faith,perverted
6959,perverted,transgressors
6960,harm,barringtrifling
6961,barringtrifling,annoyance
6962,annoyance,come
6963,come,fight
6964,fight,show
6965,show,backs
6966,backs,help
6967,help,shall
6968,shall,get
6969,shame,pitched
6970,pitched,liketent
6971,liketent,wherever
6972,wherever,found
6973,found,except
6974,except,undercovenant
6975,undercovenant,protection
6976,protection,allah
6977,allah,men
6978,men,draw
6979,draw,wrath
6980,wrath,allah
6981,allah,pitched
6982,pitched,tent
6983,tent,destitution
6984,destitution,rejected
6985,rejected,signs
6986,signs,allah
6987,allah,slew
6988,slew,prophets
6989,prophets,defiance
6990,defiance,right
6991,right,rebelled
6992,rebelled,transgressed
6993,transgressed,beyond
6994,beyond,bounds
6995,alike,people
6996,people,book
6997,book,areportion
6998,areportion,stand
6999,stand,right
7000,right,rehearse
7001,rehearse,signs
7002,signs,allah
7003,allah,night
7004,night,long
7005,long,prostrate
7006,prostrate,adoration
7007,believe,allah
7008,allah,last
7009,last,day
7010,day,enjoin
7011,enjoin,right
7012,right,forbid
7013,forbid,wrong
7014,wrong,hasten
7015,hasten,emulation
7016,emulation,good
7017,good,works
7018,works,ranks
7019,ranks,righteous
7020,good,nothing
7021,nothing,rejected
7022,rejected,allah
7023,allah,knoweth
7024,knoweth,well
7025,well,right
7026,reject,faith
7027,faith,neither
7028,neither,possessions
7029,possessions,numerous
7030,numerous,progeny
7031,progeny,avail
7032,avail,aught
7033,aught,allah
7034,allah,companions
7035,companions,fire
7036,fire,dwelling
7037,dwelling,therein
7038,therein,ever
7039,spend,life
7040,life,material
7041,material,world
7042,world,may
7043,may,likened
7044,likened,towind
7045,towind,bringsnipping
7046,bringsnipping,frost
7047,frost,strikes
7048,strikes,destroys
7049,destroys,harvest
7050,harvest,men
7051,men,wronged
7052,wronged,souls
7053,souls,allah
7054,allah,hath
7055,hath,wronged
7056,wronged,wrong
7057,ye,believe
7058,believe,take
7059,take,intimacy
7060,intimacy,outside
7061,outside,ranks
7062,ranks,fail
7063,fail,corrupt
7064,corrupt,desire
7065,desire,ruin
7066,ruin,rank
7067,rank,hatred
7068,hatred,already
7069,already,appeared
7070,appeared,mouths
7071,mouths,hearts
7072,hearts,conceal
7073,conceal,far
7074,far,worse
7075,worse,made
7076,made,plain
7077,plain,signs
7078,signs,ye
7079,ye,wisdom
7080,ah,ye
7081,ye,love
7082,love,love
7083,love,though
7084,though,ye
7085,ye,believe
7086,believe,whole
7087,whole,book
7088,book,meet
7089,meet,say
7090,say,believe
7091,believe,alone
7092,alone,bite
7093,bite,tips
7094,tips,fingers
7095,fingers,rage
7096,rage,say
7097,say,perish
7098,perish,rage
7099,rage,allah
7100,allah,knoweth
7101,knoweth,well
7102,well,secrets
7103,secrets,heart
7104,aught,good
7105,good,befalls
7106,befalls,grieves
7107,grieves,misfortune
7108,misfortune,overtakes
7109,overtakes,rejoice
7110,rejoice,ye
7111,ye,constant
7112,constant,right
7113,right,least
7114,least,harm
7115,harm,cunning
7116,cunning,allah
7117,allah,compasseth
7118,compasseth,round
7119,remember,morning
7120,morning,thou
7121,thou,didst
7122,didst,leave
7123,leave,thy
7124,thy,household
7125,household,early
7126,early,post
7127,post,faithful
7128,faithful,stations
7129,stations,battle
7130,battle,allah
7131,allah,heareth
7132,heareth,knoweth
7133,knoweth,things
7134,remember,two
7135,two,parties
7136,parties,meditated
7137,meditated,cowardice
7138,cowardice,allah
7139,allah,protector
7140,protector,allah
7141,allah,faithful
7142,faithful,ever
7143,ever,put
7144,put,trust
7145,allah,helped
7146,helped,badr
7147,badr,ye
7148,ye,werecontemptible
7149,werecontemptible,little
7150,little,force
7151,force,fear
7152,fear,allah
7153,allah,thus
7154,thus,may
7155,may,ye
7156,ye,show
7157,show,gratitude
7158,remember,thou
7159,thou,saidst
7160,saidst,faithful
7161,faithful,enough
7162,enough,allah
7163,allah,help
7164,help,three
7165,three,thousand
7166,thousand,angels
7167,angels,specially
7168,specially,sent
7169,yea,ye
7170,ye,remain
7171,remain,firm
7172,firm,act
7173,act,aright
7174,aright,even
7175,even,enemy
7176,enemy,rush
7177,rush,hot
7178,hot,haste
7179,haste,lord
7180,lord,would
7181,would,help
7182,help,five
7183,five,thousand
7184,thousand,angels
7185,angels,makingterrific
7186,makingterrific,onslaught
7187,allah,made
7188,made,butmessage
7189,butmessage,hope
7190,hope,assurance
7191,assurance,hearts
7192,hearts,case
7193,case,help
7194,help,except
7195,except,allah
7196,allah,exalted
7197,exalted,wise
7198,might,cut
7199,cut,offfringe
7200,offfringe,unbelievers
7201,unbelievers,expose
7202,expose,infamy
7203,infamy,turned
7204,turned,back
7205,back,frustrated
7206,frustrated,purpose
7207,thee,allah
7208,allah,decision
7209,decision,whether
7210,whether,turn
7211,turn,mercy
7212,mercy,punish
7213,punish,indeed
7214,indeed,wrong
7215,wrong,doers
7216,allah,belongeth
7217,belongeth,heavens
7218,heavens,earth
7219,earth,forgiveth
7220,forgiveth,pleaseth
7221,pleaseth,punisheth
7222,punisheth,pleaseth
7223,pleaseth,allah
7224,allah,oft
7225,oft,forgiving
7226,forgiving,merciful
7227,ye,believe
7228,believe,devour
7229,devour,usury
7230,usury,doubled
7231,doubled,multiplied
7232,multiplied,fear
7233,fear,allah
7234,allah,ye
7235,ye,may
7236,may,really
7237,really,prosper
7238,fear,fire
7239,fire,repaired
7240,repaired,reject
7241,reject,faith
7242,obey,allah
7243,allah,messenger
7244,messenger,ye
7245,ye,may
7246,may,obtain
7247,obtain,mercy
7248,quick,race
7249,race,forgiveness
7250,forgiveness,lord
7251,lord,forgarden
7252,forgarden,whose
7253,whose,width
7254,width,whole
7255,whole,heavens
7256,heavens,earth
7257,earth,prepared
7258,prepared,righteous
7259,spend,freely
7260,freely,whether
7261,whether,prosperity
7262,prosperity,adversity
7263,adversity,restrain
7264,restrain,anger
7265,anger,pardon
7266,pardon,men
7267,men,allah
7268,allah,loves
7269,loves,good
7270,done,something
7271,something,ashamed
7272,ashamed,wronged
7273,wronged,souls
7274,souls,earnestly
7275,earnestly,bring
7276,bring,allah
7277,allah,mind
7278,mind,ask
7279,ask,forgiveness
7280,forgiveness,sins
7281,sins,forgive
7282,forgive,sins
7283,sins,except
7284,except,allah
7285,allah,never
7286,never,obstinate
7287,obstinate,persisting
7288,persisting,knowingly
7289,knowingly,wrong
7290,wrong,done
7291,reward,forgiveness
7292,forgiveness,lord
7293,lord,gardens
7294,gardens,rivers
7295,rivers,flowing
7296,flowing,underneath
7297,underneath,eternal
7298,eternal,dwelling
7299,dwelling,excellentrecompense
7300,excellentrecompense,work
7301,work,strive
7302,many,ways
7303,ways,life
7304,life,passed
7305,passed,away
7306,away,travel
7307,travel,earth
7308,earth,see
7309,see,end
7310,end,rejected
7311,rejected,truth
7312,isplain,statement
7313,statement,men
7314,men,guidance
7315,guidance,instruction
7316,instruction,fear
7317,fear,allah
7318,lose,heart
7319,heart,fall
7320,fall,despair
7321,despair,ye
7322,ye,must
7323,must,gain
7324,gain,mastery
7325,mastery,ye
7326,ye,true
7327,true,faith
7328,ifwound,hath
7329,hath,touched
7330,touched,suresimilar
7331,suresimilar,wound
7332,wound,hath
7333,hath,touched
7334,touched,others
7335,others,days
7336,days,varying
7337,varying,fortunes
7338,fortunes,give
7339,give,men
7340,men,men
7341,men,turns
7342,turns,allah
7343,allah,may
7344,may,know
7345,know,believe
7346,believe,may
7347,may,take
7348,take,ranks
7349,ranks,martyr
7350,martyr,witnesses
7351,witnesses,truth
7352,truth,allah
7353,allah,loveth
7354,loveth,wrong
7355,allah,object
7356,object,also
7357,also,purge
7358,purge,true
7359,true,faith
7360,faith,deprive
7361,deprive,blessing
7362,blessing,resist
7363,resist,faith
7364,ye,think
7365,think,ye
7366,ye,would
7367,would,enter
7368,enter,heaven
7369,heaven,without
7370,without,allah
7371,allah,testing
7372,testing,fought
7373,fought,hard
7374,hard,cause
7375,cause,remained
7376,remained,steadfast
7377,ye,indeed
7378,indeed,wish
7379,wish,death
7380,death,ye
7381,ye,met
7382,met,ye
7383,ye,seen
7384,seen,eyes
7385,eyes,ye
7386,ye,flinch
7387,muhammad,thanmessenger
7388,thanmessenger,many
7389,many,messenger
7390,messenger,passed
7391,passed,away
7392,away,died
7393,died,slain
7394,slain,ye
7395,ye,turn
7396,turn,back
7397,back,heels
7398,heels,turn
7399,turn,back
7400,back,heels
7401,heels,least
7402,least,harm
7403,harm,allah
7404,allah,allah
7405,allah,hand
7406,hand,swiftly
7407,swiftly,reward
7408,reward,serve
7409,serve,gratitude
7410,cansoul,die
7411,die,except
7412,except,allah
7413,allah,leave
7414,leave,term
7415,term,fixed
7416,fixed,writing
7417,writing,desirereward
7418,desirereward,life
7419,life,shall
7420,shall,give
7421,give,desirereward
7422,desirereward,hereafter
7423,hereafter,shall
7424,shall,give
7425,give,swiftly
7426,swiftly,shall
7427,shall,reward
7428,reward,serve
7429,serve,us
7430,us,gratitude
7431,many,prophets
7432,prophets,fought
7433,fought,allah
7434,allah,way
7435,way,fought
7436,fought,large
7437,large,bands
7438,bands,godly
7439,godly,men
7440,men,never
7441,never,lost
7442,lost,heart
7443,heart,met
7444,met,disaster
7445,disaster,allah
7446,allah,way
7447,way,weaken
7448,weaken,give
7449,give,allah
7450,allah,loves
7451,loves,firm
7452,firm,steadfast
7453,said,lord
7454,lord,forgive
7455,forgive,us
7456,us,sins
7457,sins,anything
7458,anything,may
7459,may,done
